	oob_score	n_estimators	min_weight_fraction_leaf	min_samples_split	min_samples_leaf	min_impurity_decrease	max_samples	max_leaf_nodes	max_features	max_depth	criterion	ccp_alpha	bootstrap	accuracy	average_precision	f1	precision	recall	roc_auc
192	False	50	0.0	10	2	10.0	0.5	10.0	sqrt	1000.0	gini	0.0	True	0.7586862720455783	0.2413137279544217	0.0	0.0	0.0	0.5
193	False	10	1.0	5	2	0.5	0.1	500.0	sqrt	1000.0	entropy	1e-05	True						
194	True	50	5.0	10	5	0.0	0.5	50.0	auto	10.0	gini	0.001	False						
195	True	50	1.0	10	2	1.0		200.0	auto		gini	1.0	False						
196	True	25	5.0	5	2	0.5	1.0	200.0	auto	10.0	entropy	0.1	False						
197	True	50	0.0	5	1	1.0	0.9	500.0	auto		gini	1e-05	True	0.7586862720455783	0.2413137279544217	0.0	0.0	0.0	0.5
198	False	50	0.0	5	5	5.0	0.75	100.0	auto	10.0	entropy	0.001	True	0.7586862720455783	0.2413137279544217	0.0	0.0	0.0	0.5
199	False	50	0.0	5	1	1.0		1000.0	auto	10.0	entropy	0.0001	False	0.7586862720455783	0.2413137279544217	0.0	0.0	0.0	0.5
200	True	75	1.0	2	1	1.0	0.75	100.0	auto	1000.0	gini	0.1	False						
201	False	10	1.0	2	2	1.0	0.5	500.0	log2	10.0	entropy	0.0001	True						
202	True	100	5.0	2	5	5.0		200.0	sqrt	10.0	entropy	0.001	False						
203	True	25	10.0	2	2	10.0	0.1	200.0	auto	1000.0	entropy	1.0	True						
204	True	50	0.0	2	1	0.5		1000.0	sqrt	1000.0	entropy	0.1	True	0.7586862720455783	0.2413137279544217	0.0	0.0	0.0	0.5
205	False	50	0.0	10	2	5.0	0.1	200.0	sqrt	100.0	gini	1.0	False						
206	False	50	0.0	10	2	10.0	1.0	50.0	sqrt	1000.0	entropy	0.0	True	0.7586862720455783	0.2413137279544217	0.0	0.0	0.0	0.5
207	False	100	1.0	10	5	0.5	0.5	500.0	sqrt	100.0	entropy	0.001	True						
208	True	50	1.0	2	5	10.0	0.75		log2		gini	0.0	False						
209	True	100	1.0	5	5	5.0	1.0	200.0	auto	1000.0	gini	1e-05	True						
210	True	100	1.0	5	1	0.5		1000.0	auto	10.0	entropy	0.0001	False						
211	True	100	0.0	5	1	0.5	1.0	500.0	auto	1000.0	gini	0.0	True	0.7586862720455783	0.2413137279544217	0.0	0.0	0.0	0.5
212	True	100	1.0	5	5	0.0	0.1	200.0	sqrt		entropy	0.0001	True						
213	True	50	5.0	5	5	5.0	0.5	200.0	log2		entropy	0.1	False						
214	True	10	10.0	5	1	10.0	1.0	200.0	log2	100.0	entropy	1e-05	False						
215	False	100	0.0	5	5	1.0	0.9	1000.0	sqrt		entropy	1.0	False						
216	False	75	0.0	10	1	10.0	0.25	1000.0	auto	10.0	gini	0.001	True	0.7586862720455783	0.2413137279544217	0.0	0.0	0.0	0.5
217	True	25	5.0	10	1	1.0	0.1	500.0	sqrt	10.0	gini	0.0	False						
218	False	75	10.0	10	5	5.0	0.5	100.0	auto	10.0	entropy	0.0001	True						
219	False	25	0.0	5	1	10.0		100.0	auto	1000.0	entropy	0.0001	False	0.7586862720455783	0.2413137279544217	0.0	0.0	0.0	0.5
220	True	100	10.0	5	5	0.0	0.1	200.0	auto	100.0	entropy	0.01	True						
221	False	50	10.0	2	1	1.0	0.1	200.0	sqrt	10.0	gini	1e-05	False						
222	False	50	0.0	5	2	0.0	0.75	200.0	auto	1000.0	entropy	0.1	True	0.7596037032382388	0.6893249150096012	0.007547169811320756	0.2	0.0038461538461538464	0.8263296291115113
223	False	50	0.0	2	1	10.0			log2		entropy	0.001	True	0.7586862720455783	0.2413137279544217	0.0	0.0	0.0	0.5
224	True	50	0.0	5	1	0.0	1.0	1000.0	sqrt		entropy	0.1	False						
225	True	25	0.0	10	2	0.0	0.9	500.0	auto	10.0	entropy	1.0	False						
226	True	100	5.0	2	5	1.0	0.25	50.0	log2		gini	0.0	True						
227	True	75	5.0	5	1	5.0	0.9	50.0	log2	100.0	entropy	1e-05	False						
228	False	100	0.0	2	5	1.0		100.0	auto	100.0	entropy	0.1	True	0.7586862720455783	0.2413137279544217	0.0	0.0	0.0	0.5
229	False	50	5.0	5	1	1.0	1.0	1000.0	sqrt	10.0	gini	1e-05	True						
230	False	75	5.0	2	5	0.0	0.25		auto	100.0	gini	0.1	True						
231	True	25	1.0	2	1	0.5	0.1	100.0	auto	100.0	entropy	0.01	True						
232	True	25	5.0	2	1	5.0	0.1		auto		entropy	1.0	True						
233	True	75	5.0	10	5	0.5	0.25	500.0	log2		entropy	1e-05	True						
234	True	25	5.0	5	2	5.0	1.0		log2	100.0	gini	1.0	True						
235	True	25	5.0	10	2	0.0	0.1	200.0	auto	100.0	gini	0.01	True						
236	True	10	10.0	2	2	0.0	0.9	500.0	log2	100.0	gini	1e-05	False						
237	False	75	5.0	2	1	0.0	0.9	10.0	auto	10.0	gini	0.1	True						
238	True	10	0.0	10	1	0.0	0.9	200.0	sqrt		gini	0.1	True	0.7586862720455783	0.5406172949416634	0.0	0.0	0.0	0.7398521517128019
239	True	100	1.0	2	2	0.5	0.75	50.0	auto	10.0	entropy	0.0001	False						
240	True	25	1.0	5	1	5.0	0.1	10.0	auto	100.0	entropy	0.0001	True						
241	True	75	1.0	10	1	0.0		200.0	auto	1000.0	entropy	0.0	False						
242	False	10	5.0	10	1	5.0	1.0	200.0	log2		entropy	1e-05	True						
243	True	75	0.0	5	2	0.5	0.5	10.0	sqrt	10.0	entropy	0.0	False						
244	False	100	1.0	10	1	5.0	0.75	1000.0	sqrt	1000.0	entropy	0.0001	False						
245	True	10	1.0	2	1	1.0	0.1	200.0	auto	1000.0	entropy	0.01	True						
246	True	10	0.0	2	1	0.0	0.75	100.0	sqrt		entropy	0.1	True	0.7842570483012861	0.5547754232426119	0.15575221238938053	0.14666666666666667	0.16603773584905662	0.7623365013027437
247	True	100	1.0	5	5	0.5	0.1	1000.0	auto	1000.0	entropy	0.001	False						
248	False	10	1.0	10	5	1.0	0.25	1000.0	log2	1000.0	gini	0.001	False						
249	False	75	5.0	10	1	10.0	0.75	200.0	sqrt	10.0	entropy	0.001	False						
250	True	100	0.0	5	1	5.0		200.0	auto	10.0	gini	1e-05	False						
251	False	50	0.0	5	5	0.0		100.0	sqrt	10.0	gini	0.0001	True	0.8637258598299191	0.7648781982091668	0.6047036429981176	0.8781239388794567	0.521044992743106	0.8622191232273069
252	True	25	0.0	5	2	0.5		200.0	auto	100.0	entropy	0.01	True	0.7586862720455783	0.2413137279544217	0.0	0.0	0.0	0.5
253	True	10	0.0	2	2	5.0	0.9	1000.0	log2	10.0	gini	0.0	False						
