	shrinking	probability	kernel	gamma	degree	decision_function_shape	coef0	break_ties	C	accuracy	average_precision	f1	precision	recall	roc_auc
4081	False	True	linear	scale	3	ovo	0.0	False	5.0	0.8545808721880105	0.7559843968032732	0.5665991376208397	0.8608132343846631	0.5132801161103048	0.8610125553010299
4082	True	False	linear	auto	1	ovo	5.0	False	1.0	0.8545808721880105	0.761221202875378	0.5665991376208397	0.8608132343846631	0.5132801161103048	0.8618217427037613
4083	False	False	rbf	scale	1	ovr	5.0	True	5.0	0.8609777554354656	0.7236753694512857	0.5992669358061963	0.8111349448615351	0.521044992743106	0.8404803539265917
4084	False	True	rbf	scale	4	ovr	0.0	False	5.0	0.8609777554354656	0.7236753694512857	0.5992669358061963	0.8111349448615351	0.521044992743106	0.8404803539265917
4085	False	True	rbf	scale	1	ovo	0.01	False	0.1	0.7605127560638432	0.7233328443562028	0.021818181818181816	0.3	0.011320754716981133	0.8445057443125185
4086	False	True	sigmoid	auto	2	ovo	0.1	False	1.0	0.8180511918227138	0.6090329850795685	0.5550263348582677	0.6288469494380824	0.5400580551523948	0.8072424676937067
4087	True	True	rbf	auto	4	ovo	0.01	False	1.0	0.8573205982154078	0.7252177256423649	0.5665754667268316	0.8808272946859903	0.49818577648766327	0.844222900309511
4088	False	False	linear	auto	2	ovo	0.01	False	0.005	0.7586862720455783	0.7422194270247472	0.0	0.0	0.0	0.8509145435151346
4089	True	True	rbf	scale	3	ovr	5.0	False	0.005	0.7586862720455783	0.7216685824409899	0.0	0.0	0.0	0.8440725164810186
4090	False	False	rbf	auto	1	ovo	0.0	True	10.0						
4091	False	True	linear	auto	5	ovo	0.001	True	0.001						
