	power_t	penalty	loss	learning_rate	l1_ratio	eta0	epsilon	average	alpha	accuracy	average_precision	f1	precision	recall	roc_auc
8017	0.57	l2	hinge	constant	0.45	0.0001	0.2	False	0.0001	0.7723890913660927	0.7397854815985448	0.09620813847228941	0.8	0.056676342525399125	0.851048315176526
8018	0.5	elasticnet	squared_hinge	constant	0.6	0.0001	0.7	True	1e-05	0.8509279041514809	0.7473814966705656	0.5112121621923806	0.95269918699187	0.40384615384615385	0.8523755398954307
8019	0.25	l2	squared_hinge	invscaling	0.45	0.1	0.9	True	0.0001	0.865548154664656	0.7553431786521646	0.6082783703985902	0.8788312462731067	0.536066763425254	0.8589950513228531
8020	0.57	l1	squared_error	invscaling	0.15	1e-05	0.5	True	0.01	0.7586862720455783	0.4558300944363654	0.0	0.0	0.0	0.6332326402853796
8021	0.5	l1	perceptron	constant	0.6	0.1	0.5	True	0.01	0.3254786142180889	0.15605421088011417	0.10604247056318408	0.0778113835942679	0.16712626995645863	0.2188801650724815
8022	0.1	l2	modified_huber	constant	0.15	1e-05	0.2	False	0.1	0.7623392400821081	0.7251128520494863	0.028835978835978836	0.4	0.01509433962264151	0.8434067183101055
8023	0.57	elasticnet	perceptron	constant	0.15	1e-05	0.3	True	0.0001	0.8664613966737882	0.7591659809358966	0.6152922927152299	0.8693550855774339	0.5473875181422351	0.8545749033871335
8024	0.5	elasticnet	hinge	invscaling	0.15	1e-05	0.9	True	1.0	0.7586862720455783	0.339213437296896	0.0	0.0	0.0	0.5297947960200744
8025	0.1	elasticnet	hinge	constant	0.45	1e-05	0.3	False	0.1	0.7586862720455783	0.5388890960415013	0.0	0.0	0.0	0.6999562837707871
8026	0.5	l2	hinge	invscaling	0.75	0.001	0.1	False	1e-06	0.7586862720455783	0.517494167809777	0.0	0.0	0.0	0.6864261108293843
8027	0.25	elasticnet	modified_huber	optimal	0.0	0.01	0.7	False	1.0	0.7623392400821081	0.6891196947136419	0.028835978835978836	0.4	0.01509433962264151	0.8292444086942836
8028	0.25	elasticnet	squared_error	optimal	0.0	0.0001	0.7	False	0.01	0.4880231242930752	0.2966329899981742	0.322000749516665	0.23876163907821218	0.5002902757619738	0.47662099777921557
8029	0.5	elasticnet	hinge	constant	0.6	1e-05	0.9	False	0.1	0.7586862720455783	0.5251366436783449	0.0	0.0	0.0	0.6884475492681903
8030	0.1	l1	hinge	constant	0.9	0.0001	0.1	True	1e-06	0.7586862720455783	0.7222605297654646	0.0	0.0	0.0	0.8348580096875164
8031	0.5	l1	modified_huber	invscaling	0.6	0.1	0.2	True	1.0	0.3591889740689539	0.1572251719045325	0.1199109026450899	0.09155753388366697	0.1862844702467344	0.2147201287005788
8032	0.1	elasticnet	hinge	invscaling	0.45	0.01	0.2	True	0.1	0.26878639353190065	0.1513711340268822	0.14947600171697	0.1021308698321465	0.28098693759071114	0.18220487173658348
8033	0.57	elasticnet	squared_error	constant	0.6	0.001	0.1	True	0.001	0.8545808721880105	0.7335976288420444	0.5534195275786744	0.8969284722175775	0.47177068214804063	0.8492782450556945
8034	0.5	l1	modified_huber	constant	1.0	1e-05	0.2	True	1.0	0.2303548238448326	0.17508417242893082	0.3744258057091659	0.2328850182547093	0.9547169811320755	0.26511357476349523
8035	0.25	l1	modified_huber	invscaling	0.15	0.001	0.7	True	1.0	0.22118889028528338	0.15360131731221918	0.1861933621933622	0.12528898813937833	0.3839622641509434	0.18618042562120762
8036	0.9	elasticnet	log	invscaling	1.0	1e-05	0.2	False	1e-05	0.7586862720455783	0.43211824165774465	0.0	0.0	0.0	0.6244745309248605
8037	0.25	elasticnet	squared_hinge	invscaling	0.9	0.001	0.1	False	1.0	0.7586862720455783	0.2413137279544217	0.0	0.0	0.0	0.5
8038	0.57	elasticnet	squared_hinge	adaptive	0.15	0.01	0.7	True	0.1	0.31903146076829625	0.15741067942725678	0.1321800428741446	0.09356104608077383	0.2283744557329463	0.22515781558745868
8039	0.9	l2	squared_error	optimal	0.45	0.0001	0.3	False	0.01	0.5768170583553266	0.3693414313009442	0.3859124239564792	0.29685489816303146	0.5563134978229318	0.5747993425079126
8040	0.25	elasticnet	hinge	adaptive	0.75	1e-05	0.5	True	0.01	0.7586862720455783	0.5009614357200006	0.0	0.0	0.0	0.6714930840925385
8041	0.57	l2	squared_error	optimal	0.0	1e-05	0.9	False	0.01	0.5300322567131666	0.3590939909822013	0.37689495180904115	0.2797760424178137	0.5833091436865022	0.554455558081382
8042	0.1	elasticnet	modified_huber	optimal	0.15	0.1	0.2	False	1.0	0.7586862720455783	0.5639583193889778	0.0	0.0	0.0	0.7720041268120376
